,Period,Weekday,N_DryBulbTemp,N_RelativeHumidity,N_WindSpeed,r_startstation id_Count
0,10AM-12PM,Sun,0.4834123222748815,0.45977011494252873,0.5633802816901409,56
1,10PM-12AM,Sun,0.4075829383886256,0.5689655172413793,0.19718309859154928,19
2,12AM-2AM,Sun,0.45023696682464454,0.8735632183908046,0.43661971830985913,20
3,12PM-2PM,Sun,0.4976303317535545,0.3448275862068966,0.5352112676056338,105
4,2AM-4AM,Sun,0.43601895734597157,0.9195402298850575,0.43661971830985913,6
5,2PM-4PM,Sun,0.4881516587677725,0.3448275862068966,0.4507042253521127,82
6,4AM-6AM,Sun,0.43601895734597157,0.896551724137931,0.43661971830985913,7
7,4PM-6PM,Sun,0.46919431279620855,0.3793103448275862,0.2676056338028169,79
8,6AM-8AM,Sun,0.43601895734597157,0.8160919540229885,0.4084507042253521,9
9,6PM-8PM,Sun,0.44075829383886256,0.4425287356321839,0.2676056338028169,51
10,8AM-10AM,Sun,0.47393364928909953,0.5977011494252874,0.49295774647887325,18
11,8PM-10PM,Sun,0.4265402843601896,0.4885057471264368,0.22535211267605634,28
12,10AM-12PM,Mon,0.4549763033175355,0.5977011494252874,0.0,92
13,10PM-12AM,Mon,0.47393364928909953,0.7758620689655172,0.28169014084507044,25
14,12AM-2AM,Mon,0.3933649289099526,0.6264367816091954,0.14084507042253522,11
15,12PM-2PM,Mon,0.46445497630331756,0.5574712643678161,0.0,145
16,2AM-4AM,Mon,0.36492890995260663,0.7298850574712644,0.0,3
17,2PM-4PM,Mon,0.4597156398104265,0.6264367816091954,0.11267605633802817,151
18,4AM-6AM,Mon,0.3791469194312796,0.7413793103448276,0.0,2
19,4PM-6PM,Mon,0.4597156398104265,0.764367816091954,0.22535211267605634,126
20,6AM-8AM,Mon,0.36492890995260663,0.8103448275862069,0.11267605633802817,20
21,6PM-8PM,Mon,0.46445497630331756,0.8045977011494253,0.22535211267605634,88
22,8AM-10AM,Mon,0.4075829383886256,0.7068965517241379,0.14084507042253522,76
23,8PM-10PM,Mon,0.46919431279620855,0.7816091954022989,0.2112676056338028,56
24,10AM-12PM,Tue,0.47393364928909953,0.9770114942528736,0.5352112676056338,34
25,10PM-12AM,Tue,0.4976303317535545,1.0,0.5774647887323944,16
26,12AM-2AM,Tue,0.47393364928909953,0.8160919540229885,0.30985915492957744,11
