,Period,Weekday,N_DryBulbTemp,N_RelativeHumidity,N_WindSpeed,r_startstation id_Count
0,10AM-12PM,Wed,0.4834123222748815,0.1206896551724138,0.4647887323943662,70
1,10PM-12AM,Wed,0.4312796208530806,0.20114942528735633,0.07042253521126761,27
2,12AM-2AM,Wed,0.41706161137440756,0.25862068965517243,0.28169014084507044,6
3,12PM-2PM,Wed,0.5118483412322274,0.09195402298850575,0.4647887323943662,77
4,2AM-4AM,Wed,0.3886255924170616,0.2988505747126437,0.23943661971830985,3
5,2PM-4PM,Wed,0.5260663507109005,0.07471264367816093,0.38028169014084506,66
6,4AM-6AM,Wed,0.3696682464454976,0.3103448275862069,0.2112676056338028,2
7,4PM-6PM,Wed,0.5118483412322274,0.06896551724137931,0.4788732394366197,127
8,6AM-8AM,Wed,0.3981042654028436,0.23563218390804597,0.23943661971830985,43
9,6PM-8PM,Wed,0.4786729857819905,0.06321839080459771,0.19718309859154928,120
10,8AM-10AM,Wed,0.44075829383886256,0.1896551724137931,0.2535211267605634,161
11,8PM-10PM,Wed,0.43601895734597157,0.14942528735632185,0.04225352112676056,44
12,10AM-12PM,Thu,0.5545023696682464,0.1896551724137931,0.29577464788732394,74
13,10PM-12AM,Thu,0.5592417061611374,0.5804597701149425,0.5070422535211268,27
14,12AM-2AM,Thu,0.4218009478672986,0.22988505747126436,0.18309859154929578,7
15,12PM-2PM,Thu,0.6303317535545023,0.1896551724137931,0.4647887323943662,61
16,2AM-4AM,Thu,0.41232227488151657,0.27011494252873564,0.18309859154929578,3
17,2PM-4PM,Thu,0.6303317535545023,0.29310344827586204,0.5492957746478874,70
18,4AM-6AM,Thu,0.3933649289099526,0.3735632183908046,0.11267605633802817,4
19,4PM-6PM,Thu,0.6208530805687204,0.26436781609195403,0.647887323943662,153
20,6AM-8AM,Thu,0.4075829383886256,0.41954022988505746,0.1267605633802817,43
21,6PM-8PM,Thu,0.5876777251184834,0.28160919540229884,0.49295774647887325,117
22,8AM-10AM,Thu,0.46919431279620855,0.20689655172413793,0.2535211267605634,134
23,8PM-10PM,Thu,0.5781990521327014,0.29310344827586204,0.5070422535211268,50
24,10AM-12PM,Fri,0.6113744075829384,0.7126436781609196,0.29577464788732394,54
25,12AM-2AM,Fri,0.5687203791469194,0.6551724137931034,0.4647887323943662,4
26,12PM-2PM,Fri,0.6398104265402843,0.5804597701149425,0.2676056338028169,77
27,2AM-4AM,Fri,0.5829383886255924,0.5804597701149425,0.5633802816901409,2
28,2PM-4PM,Fri,0.6255924170616114,0.6609195402298851,0.2676056338028169,61
29,4AM-6AM,Fri,0.5829383886255924,0.6264367816091954,0.49295774647887325,5
30,4PM-6PM,Fri,0.6113744075829384,0.7241379310344828,0.2535211267605634,113
31,6AM-8AM,Fri,0.5924170616113744,0.5977011494252874,0.4225352112676056,51
32,6PM-8PM,Fri,0.5734597156398105,0.896551724137931,0.22535211267605634,113
33,8AM-10AM,Fri,0.5829383886255924,0.6954022988505747,0.2676056338028169,127
34,8PM-10PM,Fri,0.5497630331753555,0.9770114942528736,0.15492957746478872,35
35,10AM-12PM,Thu,0.3744075829383886,0.2471264367816092,0.49295774647887325,14
36,10PM-12AM,Thu,0.3791469194312796,0.45977011494252873,0.4507042253521127,1
37,12AM-2AM,Thu,0.2938388625592417,0.42528735632183906,0.28169014084507044,7
38,12PM-2PM,Thu,0.3933649289099526,0.22413793103448276,0.4225352112676056,21
39,2AM-4AM,Thu,0.3033175355450237,0.40229885057471265,0.3380281690140845,1
40,2PM-4PM,Thu,0.3886255924170616,0.2471264367816092,0.4084507042253521,33
41,4AM-6AM,Thu,0.2985781990521327,0.42528735632183906,0.4507042253521127,1
42,4PM-6PM,Thu,0.3744075829383886,0.3045977011494253,0.4225352112676056,23
43,6PM-8PM,Thu,0.3744075829383886,0.3160919540229885,0.39436619718309857,11
44,8AM-10AM,Thu,0.33649289099526064,0.3275862068965517,0.4225352112676056,6
45,8PM-10PM,Thu,0.3744075829383886,0.39080459770114945,0.30985915492957744,9
46,10AM-12PM,Fri,0.45023696682464454,0.3218390804597701,0.4507042253521127,27
47,10PM-12AM,Fri,0.3886255924170616,0.3448275862068966,0.22535211267605634,4
48,12AM-2AM,Fri,0.3981042654028436,0.41379310344827586,0.3380281690140845,1
49,12PM-2PM,Fri,0.46445497630331756,0.2988505747126437,0.4507042253521127,29
50,2AM-4AM,Fri,0.3886255924170616,0.4482758620689655,0.29577464788732394,1
51,2PM-4PM,Fri,0.45023696682464454,0.3218390804597701,0.4225352112676056,34
52,4AM-6AM,Fri,0.3981042654028436,0.40229885057471265,0.3380281690140845,1
53,4PM-6PM,Fri,0.4218009478672986,0.3448275862068966,0.352112676056338,38
